#,Type,File,Suite,Test Case,Status,Notes
33,Unit,unit/usage.test.ts,cost calculations,calculates correct Haiku cost for 1M input + 1M output tokens,PASS,
34,Unit,unit/usage.test.ts,cost calculations,Haiku is ~75% cheaper than Sonnet on typical quiz generation,PASS,
35,Unit,unit/usage.test.ts,VOYAGE_COST_PER_M,is $0.06 per million tokens,PASS,
36,Unit,unit/usage.test.ts,VOYAGE_COST_PER_M,costs less than $0.001 for a typical chapter (5000 tokens),PASS,
37,Unit,unit/usage.test.ts,SARVAM_COST_PER_CHAR,is derived from Rs15 per 10000 chars at Rs94/USD,PASS,
38,Unit,unit/usage.test.ts,SARVAM_COST_PER_CHAR,costs less than $0.01 for a typical slide (300 chars),PASS,
39,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,awards base XP (50) for any score below 80%,PASS,
40,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,awards base + bonus XP (80) for score exactly 80%,PASS,
41,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,awards base + bonus XP (80) for score above 80%,PASS,
42,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,awards base XP for empty quiz (0 questions),PASS,
43,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,awards bonus at exactly 80% boundary (4/5),PASS,
44,Unit,unit/quiz-scoring.test.ts,quiz XP base calculation,does not award bonus just below 80% (3/4 = 75%),PASS,
45,Unit,unit/quiz-scoring.test.ts,quiz XP with streak multiplier,no multiplier on streak < 3,PASS,
46,Unit,unit/quiz-scoring.test.ts,quiz XP with streak multiplier,1.5x multiplier on 3-day streak,PASS,
47,Unit,unit/quiz-scoring.test.ts,quiz XP with streak multiplier,2x multiplier on 7-day streak,PASS,
48,Unit,unit/quiz-scoring.test.ts,quiz XP with streak multiplier,rounds fractional XP correctly,PASS,
49,Unit,unit/quiz-scoring.test.ts,quiz XP with streak multiplier,max XP scenario: 100% score + 7-day streak,PASS,
50,Unit,unit/quiz-scoring.test.ts,answer scoring,matches exact answer,PASS,
51,Unit,unit/quiz-scoring.test.ts,answer scoring,is case-insensitive,PASS,
52,Unit,unit/quiz-scoring.test.ts,answer scoring,trims whitespace,PASS,
53,Unit,unit/quiz-scoring.test.ts,answer scoring,returns false for wrong answer,PASS,
54,Unit,unit/quiz-scoring.test.ts,answer scoring,returns false for empty answer,PASS,
55,Unit,unit/claude-parsing.test.ts,parseJSON,parses plain JSON array,PASS,
56,Unit,unit/claude-parsing.test.ts,parseJSON,parses plain JSON object,PASS,
57,Unit,unit/claude-parsing.test.ts,parseJSON,strips ```json ... ``` code fences,PASS,
58,Unit,unit/claude-parsing.test.ts,parseJSON,strips ``` ... ``` code fences without language tag,PASS,
59,Unit,unit/claude-parsing.test.ts,parseJSON,handles leading/trailing whitespace around JSON,PASS,
60,Unit,unit/claude-parsing.test.ts,parseJSON,throws a descriptive error for invalid JSON,PASS,
61,Unit,unit/claude-parsing.test.ts,parseJSON,throws for empty string,PASS,
62,Unit,unit/claude-parsing.test.ts,parseJSON,throws for plain text (no JSON),PASS,
63,Unit,unit/claude-parsing.test.ts,sampleContent,returns text unchanged when shorter than maxChars,PASS,
64,Unit,unit/claude-parsing.test.ts,sampleContent,returns text unchanged when exactly maxChars,PASS,
65,Unit,unit/claude-parsing.test.ts,sampleContent,returns empty string for empty input,PASS,
66,Unit,unit/claude-parsing.test.ts,sampleContent,samples long content into start + middle + end sections,PASS,
67,Unit,unit/claude-parsing.test.ts,sampleContent,sampled output is approximately maxChars + separator overhead,PASS,
68,Unit,unit/claude-parsing.test.ts,sampleContent,output contains content from start of text,PASS,
69,Unit,unit/claude-parsing.test.ts,sampleContent,output contains content from end of text,PASS,
70,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - plain text,returns text for a valid TXT buffer,PASS,
71,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - plain text,throws for an empty TXT buffer,PASS,
72,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - plain text,truncates TXT files over 120000 chars,PASS,
73,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - plain text,returns text unchanged when it is exactly at the cap,PASS,
74,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - image files,throws for image/png with a message directing to Photos mode,PASS,
75,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - image files,throws for image/jpeg,PASS,
76,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - image files,throws for image/webp,PASS,
77,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - unsupported mime type,throws a not supported error for application/zip,PASS,
78,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - unsupported mime type,throws for video/mp4,PASS,
79,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - PDF,returns extracted PDF text,PASS,
80,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - PDF,throws a password error for an encrypted PDF,PASS,
81,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - PDF,throws a scanned-PDF error when extracted text is empty,PASS,
82,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - PDF,throws a generic error for a corrupted PDF,PASS,
83,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - DOCX,returns extracted DOCX text,PASS,
84,Unit,unit/text-extraction.test.ts,extractTextFromBuffer - DOCX,throws for an empty DOCX,PASS,
85,Unit,unit/section-text.test.ts,buildParagraphs,merges lines that continue a sentence into one paragraph,PASS,
86,Unit,unit/section-text.test.ts,buildParagraphs,splits into two paragraphs when a sentence ends and new one starts with a capital,PASS,
87,Unit,unit/section-text.test.ts,buildParagraphs,removes lone page numbers,PASS,
88,Unit,unit/section-text.test.ts,buildParagraphs,removes reprint lines like Reprint 2026-27,PASS,
89,Unit,unit/section-text.test.ts,buildParagraphs,handles hyphenated line breaks by joining fragments,PASS,
90,Unit,unit/section-text.test.ts,buildParagraphs,forces a paragraph break on known section headers,PASS,
91,Unit,unit/section-text.test.ts,buildParagraphs,returns empty array for empty input,PASS,
92,Unit,unit/section-text.test.ts,buildParagraphs,filters out single-char paragraphs,PASS,
93,Unit,unit/section-text.test.ts,cleanText,fixes OCR-split single-capital words like T he -> The,PASS,
94,Unit,unit/section-text.test.ts,cleanText,fixes OCR-split single-capital words like H istory -> History,PASS,
95,Unit,unit/section-text.test.ts,cleanText,does not modify words that are already correctly spaced,PASS,
96,Unit,unit/section-text.test.ts,cleanText,removes space before punctuation,PASS,
97,Unit,unit/section-text.test.ts,cleanText,collapses multiple spaces,PASS,
98,Unit,unit/section-text.test.ts,classify,classifies Summary as a heading,PASS,
99,Unit,unit/section-text.test.ts,classify,classifies Activities as a heading,PASS,
100,Unit,unit/section-text.test.ts,classify,classifies an all-caps short line as a heading,PASS,
101,Unit,unit/section-text.test.ts,classify,classifies a figure caption line as caption,PASS,
102,Unit,unit/section-text.test.ts,classify,classifies a term-definition line as definition,PASS,
103,Unit,unit/section-text.test.ts,classify,classifies a multi-word term-definition as definition,PASS,
104,Unit,unit/section-text.test.ts,classify,classifies a regular sentence as body,PASS,
105,Unit,unit/section-text.test.ts,classify,does not classify a short definition (def < 10 chars) as definition,PASS,
106,Unit,unit/section-text.test.ts,normalisePdfText,returns Para[] from raw PDF text,PASS,
107,Unit,unit/section-text.test.ts,normalisePdfText,returns body paragraphs for plain prose,PASS,
108,Unit,unit/section-text.test.ts,normalisePdfText,handles empty input without throwing,PASS,
109,Unit,unit/parent-auth.test.ts,phoneToParentEmail,converts a plain 10-digit number,PASS,
110,Unit,unit/parent-auth.test.ts,phoneToParentEmail,strips +91 country code and spaces,PASS,
111,Unit,unit/parent-auth.test.ts,phoneToParentEmail,strips dashes and parentheses,PASS,
112,Unit,unit/parent-auth.test.ts,phoneToParentEmail,handles already-clean input,PASS,
113,Unit,unit/parent-auth.test.ts,normalizePhone,returns only digits,PASS,
114,Unit,unit/parent-auth.test.ts,normalizePhone,strips all non-digit characters,PASS,
115,Unit,unit/parent-auth.test.ts,normalizePhone,returns empty string for non-numeric input,PASS,
116,Unit,unit/parent-auth.test.ts,normalizePhone,leaves plain digits unchanged,PASS,
117,Unit,unit/parent-auth.test.ts,formatParentPhone,formats 12-digit number with +91 country code,PASS,
118,Unit,unit/parent-auth.test.ts,formatParentPhone,formats 10-digit number without country code,PASS,
119,Unit,unit/parent-auth.test.ts,formatParentPhone,returns digits as-is for short numbers,PASS,
120,Unit,unit/parent-auth.test.ts,formatParentPhone,strips non-digit chars before formatting,PASS,
121,Unit,unit/parent-refer.test.ts,generateReferralCode,generates a 6-character string,PASS,
122,Unit,unit/parent-refer.test.ts,generateReferralCode,only uses allowed characters,PASS,
123,Unit,unit/parent-refer.test.ts,generateReferralCode,produces different codes across multiple calls,PASS,
124,Unit,unit/validate-content.test.ts,validateContent,passes for a normal readable chapter text,PASS,
125,Unit,unit/validate-content.test.ts,validateContent,throws when trimmed text is under 300 chars,PASS,
126,Unit,unit/validate-content.test.ts,validateContent,throws when fewer than 50 words even if char count is satisfied,PASS,
127,Unit,unit/validate-content.test.ts,validateContent,throws for garbled text with low readable-char ratio,PASS,
128,Unit,unit/validate-content.test.ts,validateContent,throws for text with words jammed together (avg word length > 25),PASS,
129,Unit,unit/validate-content.test.ts,validateContent,passes text that is exactly at the minimum thresholds,PASS,
130,Unit,unit/validate-content.test.ts,validateContent,passes for a pure Devanagari (Hindi) chapter,PASS,
131,Unit,unit/validate-content.test.ts,validateContent,passes for mixed Hindi-English text,PASS,
132,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,returns a single text segment for plain text,PASS,
133,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,parses a single inline math segment,PASS,
134,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,parses a display math segment,PASS,
135,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,prefers display math over inline when both delimiters match,PASS,
136,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,parses multiple inline math segments in one string,PASS,
137,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,returns empty array for empty string,PASS,
138,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,handles text with no math delimiters as a single segment,PASS,
139,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,trims whitespace from math content,PASS,
140,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,handles LaTeX fractions correctly,PASS,
141,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,handles mixed display and inline math,PASS,
142,Unit,unit/pdf-vision-extract.test.ts,parseMathSegments,does not split a single dollar sign as math,PASS,
143,Unit,unit/pdf-vision-extract.test.ts,hasMathDelimiters,returns true for text with inline math,PASS,
144,Unit,unit/pdf-vision-extract.test.ts,hasMathDelimiters,returns true for text with display math,PASS,
145,Unit,unit/pdf-vision-extract.test.ts,hasMathDelimiters,returns false for plain text,PASS,
146,Unit,unit/pdf-vision-extract.test.ts,hasMathDelimiters,returns false for text with lone dollar sign (price),PASS,
147,Unit,unit/pdf-vision-extract.test.ts,hasMathDelimiters,returns false for empty string,PASS,
148,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns true for KrutiDev-encoded Hindi text,PASS,
149,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns false for proper Unicode Devanagari text,PASS,
150,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns false for plain English text,PASS,
151,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns false for text that is too short,PASS,
152,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns false for empty string,PASS,
153,Unit,unit/pdf-vision-extract.test.ts,isKrutiDevEncoded,returns false for math-garbled text (geometric symbols),PASS,
154,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,returns extracted text and usage from Claude response,PASS,
155,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,sends the PDF as a base64 document block,PASS,
156,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,throws when PDF exceeds 20 MB size limit,PASS,
157,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,returns empty text when Claude returns non-text content block,PASS,
158,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,uses Sonnet directly for reliable extraction,PASS,
159,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,uses Unicode supplement when isKrutiDev=true is passed by caller,PASS,
160,Unit,unit/pdf-vision-extract.test.ts,extractTextFromPdfVision,includes math extraction instructions in the prompt,PASS,
161,Unit,unit/milestones.test.ts,GIFT_MILESTONES,has exactly four tiers,PASS,
162,Unit,unit/milestones.test.ts,GIFT_MILESTONES,tiers are in ascending XP order,PASS,
163,Unit,unit/milestones.test.ts,GIFT_MILESTONES,each tier has a positive voucher_inr value,PASS,
164,Unit,unit/milestones.test.ts,nextMilestone,returns the first milestone when XP is 0 and none are claimed,PASS,
165,Unit,unit/milestones.test.ts,nextMilestone,returns null when XP has already passed all milestones,PASS,
166,Unit,unit/milestones.test.ts,nextMilestone,returns null when XP equals the last milestone (not strictly less than),PASS,
167,Unit,unit/milestones.test.ts,nextMilestone,skips the claimed first milestone and returns the second,PASS,
168,Unit,unit/milestones.test.ts,nextMilestone,returns null when all milestones are claimed regardless of XP,PASS,
169,Unit,unit/milestones.test.ts,nextMilestone,returns the correct tier just below the threshold,PASS,
170,Unit,unit/milestones.test.ts,xpToNextMilestone,returns the full first milestone XP when starting from 0,PASS,
171,Unit,unit/milestones.test.ts,xpToNextMilestone,returns the correct gap to the first milestone with partial progress,PASS,
172,Unit,unit/milestones.test.ts,xpToNextMilestone,returns the correct gap to the second milestone after the first is claimed,PASS,
173,Unit,unit/milestones.test.ts,xpToNextMilestone,returns null when all milestones are claimed and XP is high,PASS,
174,Unit,unit/milestones.test.ts,pendingMilestones,returns empty array when XP is below all milestones,PASS,
175,Unit,unit/milestones.test.ts,pendingMilestones,returns first milestone when XP exactly reaches it,PASS,
176,Unit,unit/milestones.test.ts,pendingMilestones,returns multiple milestones when XP spans several at once,PASS,
177,Unit,unit/milestones.test.ts,pendingMilestones,returns all four milestones when XP crosses all of them,PASS,
178,Unit,unit/milestones.test.ts,pendingMilestones,excludes already-claimed milestones,PASS,
179,Unit,unit/milestones.test.ts,pendingMilestones,returns empty when all milestones are claimed even if XP is very high,PASS,
180,API,api/feedback.test.ts,POST /api/feedback,returns 401 when not authenticated,PASS,
181,API,api/feedback.test.ts,POST /api/feedback,returns 400 for empty message,PASS,
182,API,api/feedback.test.ts,POST /api/feedback,returns 400 for whitespace-only message,PASS,
183,API,api/feedback.test.ts,POST /api/feedback,returns 200 on success with message only,PASS,
184,API,api/feedback.test.ts,POST /api/feedback,returns 200 on success with rating and category,PASS,
185,API,api/feedback.test.ts,POST /api/feedback,returns 500 when Supabase insert fails,PASS,
186,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,returns 401 when not authenticated,PASS,
187,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,returns 400 when quizId is missing,PASS,
188,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,returns 400 when answers is missing,PASS,
189,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,returns 404 when quiz is not found,PASS,
190,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,scores all correct answers and returns score=2/2,PASS,
191,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,scores partial correct answers correctly,PASS,
192,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,answer scoring is case-insensitive and trims whitespace,PASS,
193,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,awards base XP only (50) for score below 80%,PASS,
194,API,api/quiz-attempts.test.ts,POST /api/quiz-attempts,awards base + bonus XP (80) for score >= 80%,PASS,
195,API,api/gamification-xp.test.ts,GET /api/gamification/xp,returns 401 when not authenticated,PASS,
196,API,api/gamification-xp.test.ts,GET /api/gamification/xp,returns gamification row for authenticated user,PASS,
197,API,api/gamification-xp.test.ts,GET /api/gamification/xp,returns default Level 1 / 0 XP when no gamification row exists,PASS,
198,API,api/gamification-xp.test.ts,POST /api/gamification/xp,returns 401 when not authenticated,PASS,
199,API,api/gamification-xp.test.ts,POST /api/gamification/xp,returns 400 for an invalid event (quiz_completed is server-only),PASS,
200,API,api/gamification-xp.test.ts,POST /api/gamification/xp,returns 400 for an unknown event string,PASS,
201,API,api/gamification-xp.test.ts,POST /api/gamification/xp,returns XP data for valid event (video_watched),PASS,
202,API,api/gamification-xp.test.ts,POST /api/gamification/xp,returns XP data for valid event (chat_message),PASS,
203,API,api/chapters-rename.test.ts,PATCH /api/chapters/[id],returns 401 when not authenticated,PASS,
204,API,api/chapters-rename.test.ts,PATCH /api/chapters/[id],returns 400 when name field is missing,PASS,
205,API,api/chapters-rename.test.ts,PATCH /api/chapters/[id],returns 400 when name is whitespace-only,PASS,
206,API,api/chapters-rename.test.ts,PATCH /api/chapters/[id],returns 200 on successful rename,PASS,
207,API,api/chapters-rename.test.ts,PATCH /api/chapters/[id],returns 500 when the database update fails,PASS,
208,API,api/chapters-rename.test.ts,DELETE /api/chapters/[id],returns 401 when not authenticated,PASS,
209,API,api/chapters-rename.test.ts,DELETE /api/chapters/[id],returns 404 when the chapter is not found,PASS,
210,API,api/chapters-rename.test.ts,DELETE /api/chapters/[id],returns 200 and deletes chapter without a storage file,PASS,
211,API,api/chapters-rename.test.ts,DELETE /api/chapters/[id],removes the storage file when file_url is present,PASS,
212,API,api/referrals-click.test.ts,POST /api/referrals/click,returns 400 when code is missing,PASS,
213,API,api/referrals-click.test.ts,POST /api/referrals/click,returns 400 when code is not a string,PASS,
214,API,api/referrals-click.test.ts,POST /api/referrals/click,returns 400 when code trims to an empty string,PASS,
215,API,api/referrals-click.test.ts,POST /api/referrals/click,returns 200 and { ok: true } for a valid code,PASS,
216,API,api/referrals-click.test.ts,POST /api/referrals/click,normalises the code to uppercase before inserting,PASS,
217,API,api/referrals-click.test.ts,POST /api/referrals/click,strips leading/trailing whitespace from the code,PASS,
218,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 400 when phone is missing,PASS,
219,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 400 when password is missing,PASS,
220,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 400 when password is shorter than 8 characters,PASS,
221,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 400 when phone has fewer than 10 digits,PASS,
222,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 404 when no student has that phone number,PASS,
223,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 409 when parent account already exists,PASS,
224,API,api/parent-register.test.ts,POST /api/parent/auth/register,returns 200 with ok:true on successful registration,PASS,
225,API,api/parent-register.test.ts,POST /api/parent/auth/register,passes email_confirm:true so no verification email is sent,PASS,
226,API,api/parent-register.test.ts,POST /api/parent/auth/register,stores role:parent and digits in user_metadata,PASS,
227,API,api/parent-insights.test.ts,GET /api/parent/insights/[studentId],returns 401 when not authenticated,PASS,
228,API,api/parent-insights.test.ts,GET /api/parent/insights/[studentId],returns 401 when user is not a parent,PASS,
229,API,api/parent-insights.test.ts,GET /api/parent/insights/[studentId],returns 401 when student phone does not match parent phone,PASS,
230,API,api/parent-insights.test.ts,GET /api/parent/insights/[studentId],returns fresh cached insights when not expired,PASS,
231,API,api/parent-insights.test.ts,GET /api/parent/insights/[studentId],returns null insights when cache is stale,PASS,
232,API,api/parent-insights.test.ts,POST /api/parent/insights/[studentId],returns 401 when not a parent,PASS,
233,API,api/parent-insights.test.ts,POST /api/parent/insights/[studentId],returns 401 when student phone does not match,PASS,
234,API,api/parent-insights.test.ts,POST /api/parent/insights/[studentId],generates and returns insights for verified parent,PASS,
235,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 403 when not authenticated,PASS,
236,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 403 when authenticated as a non-admin email,PASS,
237,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 400 when user_id is missing,PASS,
238,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 400 when voucher_code is blank whitespace,PASS,
239,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 400 when xp_milestone is missing,PASS,
240,API,api/voucher-admin.test.ts,POST /api/admin/milestones,saves voucher code and returns success for valid admin request,PASS,
241,API,api/voucher-admin.test.ts,POST /api/admin/milestones,returns 500 when DB update fails,PASS,
242,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 401 when not authenticated,PASS,
243,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 400 when xp_milestone is missing,PASS,
244,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 400 when no voucher_code is set on the milestone,PASS,
245,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 400 when voucher has already been availed,PASS,
246,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 400 when milestone row does not exist,PASS,
247,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,marks availed and returns success when voucher is valid and unused,PASS,
248,API,api/voucher-avail.test.ts,POST /api/student/milestones/avail,returns 500 when DB update fails,PASS,
249,E2E,e2e/auth.spec.ts,Login page,renders the brand heading and form,PASS,
250,E2E,e2e/auth.spec.ts,Login page,Create account link navigates to signup page,PASS,
251,E2E,e2e/auth.spec.ts,Login page,shows error toast for wrong credentials,PASS,
252,E2E,e2e/auth.spec.ts,Login page,valid credentials redirect to /dashboard,PASS,
253,E2E,e2e/auth.spec.ts,Signup page,renders the form with required fields,PASS,
254,E2E,e2e/auth.spec.ts,Signup page,Sign in link navigates back to login,PASS,
255,E2E,e2e/chapter-features.spec.ts,Quiz,page loads with chapter heading,PASS,
256,E2E,e2e/chapter-features.spec.ts,Flashcards,page loads and shows at least one card,PASS,
257,E2E,e2e/chapter-features.spec.ts,Summary,page loads with generate button or existing summary,PASS,
258,E2E,e2e/chapter-features.spec.ts,Video,page loads and shows the video player or generate button,PASS,
259,E2E,e2e/chapter-features.spec.ts,Ask AI (Chat),page loads and shows the message input,PASS,
260,E2E,e2e/upload.spec.ts,Upload page,loads the upload page,PASS,
261,E2E,e2e/upload.spec.ts,Upload page,shows both upload mode toggle buttons,PASS,
262,E2E,e2e/upload.spec.ts,Upload page,shows the consolidated file type hint,PASS,
263,E2E,e2e/upload.spec.ts,Upload page,file mode is the default and shows the drop zone,PASS,
264,E2E,e2e/upload.spec.ts,Upload page,switching to Screenshots mode shows the screenshot drop zone,PASS,
265,E2E,e2e/upload.spec.ts,Upload page,upload button is disabled without a subject and file,PASS,
266,E2E,e2e/upload.spec.ts,Upload page,subject creation form is visible,PASS,
267,E2E,e2e/parent-auth.spec.ts,Landing page,renders EaseStudy brand and tagline,PASS,
268,E2E,e2e/parent-auth.spec.ts,Landing page,shows both Student and Parent login options,PASS,
269,E2E,e2e/parent-auth.spec.ts,Landing page,Student card Sign In links to /auth/login,PASS,
270,E2E,e2e/parent-auth.spec.ts,Landing page,Student card Sign Up links to /auth/signup,PASS,
271,E2E,e2e/parent-auth.spec.ts,Landing page,Parent card Sign Up Free links to /parent-login register mode,PASS,
272,E2E,e2e/parent-auth.spec.ts,Landing page,nav signup link navigates to /auth/signup,PASS,
273,E2E,e2e/parent-auth.spec.ts,Parent login page,renders Parent Portal heading and form,PASS,
274,E2E,e2e/parent-auth.spec.ts,Parent login page,shows Create parent account toggle link,PASS,
275,E2E,e2e/parent-auth.spec.ts,Parent login page,switches to register mode when Create parent account is clicked,PASS,
276,E2E,e2e/parent-auth.spec.ts,Parent login page,switches back to login mode from register mode,PASS,
277,E2E,e2e/parent-auth.spec.ts,Parent login page,shows error toast for wrong credentials,PASS,
278,E2E,e2e/parent-auth.spec.ts,Parent login page,Back to home link returns to landing page,PASS,
279,E2E,e2e/parent-auth.spec.ts,Parent route protection,unauthenticated user visiting /parent is redirected to /parent-login,PASS,
280,E2E,e2e/parent-auth.spec.ts,Parent route protection,unauthenticated user visiting /parent/some-id is redirected to /parent-login,PASS,
281,E2E,e2e/chapters.spec.ts,Chapters page,loads the chapters page,PASS,
282,E2E,e2e/chapters.spec.ts,Chapters page,shows an Upload button,PASS,
283,E2E,e2e/chapters.spec.ts,Chapters page,upload button navigates to /upload,PASS,
284,E2E,e2e/chapters.spec.ts,Chapters page,profile link is reachable,PASS,
285,E2E,e2e/dashboard.spec.ts,How to Use page,loads and shows the guide content,PASS,
286,E2E,e2e/dashboard.spec.ts,How to Use page,nav link is visible in the sidebar,PASS,
287,E2E,e2e/dashboard.spec.ts,How to Use page,upload CTA link points to /upload,PASS,
288,E2E,e2e/dashboard.spec.ts,Dashboard,loads and shows the dashboard greeting,PASS,
289,E2E,e2e/dashboard.spec.ts,Dashboard,has navigation links for key sections,PASS,
290,E2E,e2e/dashboard.spec.ts,Dashboard,unauthenticated access redirects to login,PASS,
